id;starttime;endtime;description;type;subtype;street;polyline;direction
20250803T084521_5608_733;2025-08-03T08:45:21+01:00;2025-10-31T18:00:00+01:00;Travaux/Maitre d'ouvrage:CPCU/OBJECT:Raccordement Réseau/suppression branchement/31BD de grenelle;CONSTRUCTION;;Bd_Grenelle;48.8518255522583971 2.2917051384317451 48.8527319452462905 2.2907986045753961;ONE_DIRECTION
20250822T091645_206_3404;2025-08-22T09:16:45+01:00;2026-07-31T13:14:00+01:00;Réfection immeuble;CONSTRUCTION;;Quai_Voltaire;48.8592782371535108 2.3301974555390372 48.8595247935827786 2.3294939298820805;ONE_DIRECTION
20251029T210000_5483_3364;2025-10-29T21:00:00+01:00;2025-10-30T05:00:00+01:00;Fermeture nocturne pour travaux DIRIF;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;AI_A3_bretelle_2;48.8652529393257566 2.4176569891621251 48.8652900420498923 2.4185458932844637;ONE_DIRECTION
20240329T161009_1454_1069;2024-03-29T16:10:09+01:00;2050-03-29T09:00:00+01:00;Belgrand;ROAD_CLOSED;ROAD_CLOSED_EVENT;Belgrand;48.8646466309063783 2.4041489084446028 48.8645043011397675 2.4080744444103361 48.8644721789945180 2.4085078347665672;ONE_DIRECTION
20251008T160800_1966_587;2025-10-08T16:08:00+01:00;2025-10-31T01:00:00+01:00;Création d'une piste cyclable Circulation restreinte;CONSTRUCTION;;Reaumur;48.8681713543863481 2.3435996199996345 48.8677609336472898 2.3453555943035682;ONE_DIRECTION
20201110T102206_1352_1223;2020-11-10T10:22:06+01:00;2050-06-14T17:00:00+01:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8683112793836543 2.4013475520610199 48.8665126433280861 2.3998165913775256;ONE_DIRECTION
20201110T102206_1413_3649;2020-11-10T10:22:06+01:00;2050-06-14T17:00:00+01:00;Interdiction de circuler aux véhicules à moteur (sauf bus, taxis et livraisons);ROAD_CLOSED;ROAD_CLOSED_EVENT;Av_Gambetta;48.8683707172224899 2.4013944321609242 48.8683112793836543 2.4013475520610199;ONE_DIRECTION
20251029T210000_5511_966;2025-10-29T21:00:00+01:00;2025-10-30T05:00:00+01:00;Accès_A13_bretelle_12 Fermeture nocturne pour travaux DIRIF;ROAD_CLOSED;ROAD_CLOSED_CONSTRUCTION;Auteuil_bretelle_12;48.8486365505164457 2.2534627994487098 48.8490016784413186 2.2531361237632548 48.8491512254695905 2.2529114430976187 48.8492589378452990 2.2525204509201728 48.8492473817207653 2.2519766188428263 48.8491301004514611 2.2514899604627359 48.8489806166357141 2.2510717545625130 48.8487242564046866 2.2505252732095773 48.8485129527725235 2.2500090555512187 48.8484201897245285 2.2495282284262843;ONE_DIRECTION
20250804T075521_614_2205;2025-08-04T07:55:21+01:00;2025-11-28T18:00:00+01:00;Travaux:Maitre d'ouvrage:SAGP/Description:Végétalisation et agrandissement du trottoir coté paire/Mise en sens unique;CONSTRUCTION;;Gay_Lussac;48.8442902611268863 2.3419823520407270 48.8425808799085885 2.3428448823769519;ONE_DIRECTION
20251008T160800_553_3188;2025-10-08T16:08:00+01:00;2025-10-31T01:00:00+01:00;Création d'une piste cyclable Circulation restreinte;CONSTRUCTION;;Reaumur;48.8665630478787989 2.3510270787490217 48.8662189708378136 2.3525203699543034;ONE_DIRECTION
