Date;lat;lon_left;Gravité;perturbation;ame;Côté aménagement;Sens;Aménagement;Côté aménagement;Gravité
2019-10-24;48.87567275931033;2.319586336719872;1.0;0;False;;;;;1.0
2019-10-24;48.87567275931033;2.319586336719872;1.0;0;False;;;;;1.0
2019-10-24;48.87567275931033;2.319586336719872;1.0;0;False;;;;;1.0
2019-10-24;48.87567275931033;2.319586336719872;1.0;0;False;;;;;1.0
2023-02-08;48.823715404;2.3649010062;1.0;0;True;gauche;sens contraire de la voie;voie piétonne;gauche;1.0
2023-02-08;48.823715404;2.3649010062;1.0;0;True;droit;;voie piétonne;droit;1.0
2017-06-13;48.8529;2.38851;1.0;0;True;gauche;même sens que la voie;double-sens cyclable simple;gauche;1.0
2017-06-13;48.8529;2.38851;1.0;0;True;gauche;même sens que la voie;double-sens cyclable simple;gauche;1.0
2017-06-13;48.8529;2.38851;1.0;0;True;gauche;même sens que la voie;double-sens cyclable simple;gauche;1.0
2022-02-04;48.830448;2.329134;1.0;0;True;gauche;sens contraire de la voie;couloir bus ouvert aux vélos;gauche;1.0
2022-02-04;48.830448;2.329134;1.0;0;True;gauche;sens contraire de la voie;couloir bus ouvert aux vélos;gauche;1.0
2022-02-04;48.830448;2.329134;1.0;0;True;gauche;sens contraire de la voie;couloir bus ouvert aux vélos;gauche;1.0
2022-02-04;48.830448;2.329134;1.0;0;True;gauche;sens contraire de la voie;couloir bus ouvert aux vélos;gauche;1.0
2022-01-16;48.860579;2.34937;1.0;0;True;droit;;couloir bus ouvert aux vélos;droit;1.0
2022-01-16;48.860579;2.34937;1.0;0;True;droit;;couloir bus ouvert aux vélos;droit;1.0
2022-05-23;48.835178;2.398772;1.0;0;True;gauche;même sens que la voie;bande cyclable;gauche;1.0
2022-05-23;48.835178;2.398772;1.0;0;True;gauche;même sens que la voie;bande cyclable;gauche;1.0
2022-05-23;48.835178;2.398772;1.0;0;True;gauche;même sens que la voie;bande cyclable;gauche;1.0
2022-05-23;48.835178;2.398772;1.0;0;True;gauche;même sens que la voie;bande cyclable;gauche;1.0
2022-05-23;48.835178;2.398772;1.0;0;True;gauche;même sens que la voie;bande cyclable;gauche;1.0
2022-05-23;48.835178;2.398772;1.0;0;True;gauche;même sens que la voie;bande cyclable;gauche;1.0
2022-05-23;48.835178;2.398772;1.0;0;True;gauche;même sens que la voie;bande cyclable;gauche;1.0
2022-05-23;48.835178;2.398772;1.0;0;True;gauche;même sens que la voie;bande cyclable;gauche;1.0
2022-05-23;48.835178;2.398772;1.0;0;True;gauche;même sens que la voie;bande cyclable;gauche;1.0
2017-12-21;48.8826;2.31037;1.0;0;False;;;;;1.0
2017-12-21;48.8826;2.31037;1.0;0;False;;;;;1.0
2017-12-21;48.8826;2.31037;1.0;0;False;;;;;1.0
2017-12-21;48.8826;2.31037;1.0;0;False;;;;;1.0
2017-12-21;48.8826;2.31037;1.0;0;False;;;;;1.0
2017-12-21;48.8826;2.31037;1.0;0;False;;;;;1.0
2017-12-21;48.8826;2.31037;1.0;0;False;;;;;1.0
2017-12-21;48.8826;2.31037;1.0;0;False;;;;;1.0
2018-07-25;48.88774;2.39802;1.0;0;True;gauche;même sens que la voie;couloir bus ouvert aux vélos;gauche;1.0
2018-07-25;48.88774;2.39802;1.0;0;True;gauche;même sens que la voie;couloir bus ouvert aux vélos;gauche;1.0
2018-07-25;48.88774;2.39802;1.0;0;True;gauche;même sens que la voie;couloir bus ouvert aux vélos;gauche;1.0
2018-07-25;48.88774;2.39802;1.0;0;True;gauche;même sens que la voie;couloir bus ouvert aux vélos;gauche;1.0
2018-07-25;48.88774;2.39802;1.0;0;True;gauche;sens contraire de la voie;couloir bus ouvert aux vélos;gauche;1.0
2020-09-22;48.859563;2.329276;1.0;0;True;droit;;bande cyclable;droit;1.0
2020-09-22;48.859563;2.329276;1.0;0;True;droit;;bande cyclable;droit;1.0
2020-09-22;48.859563;2.329276;1.0;0;True;droit;;bande cyclable;droit;1.0
2020-09-22;48.859563;2.329276;1.0;0;True;droit;;bande cyclable;droit;1.0
2020-09-22;48.859563;2.329276;1.0;0;True;droit;;bande cyclable;droit;1.0
2020-09-22;48.859563;2.329276;1.0;0;True;droit;;bande cyclable;droit;1.0
2020-09-22;48.859563;2.329276;1.0;0;True;droit;;bande cyclable;droit;1.0
2020-09-22;48.859563;2.329276;1.0;0;True;droit;;bande cyclable;droit;1.0
2020-09-22;48.859563;2.329276;1.0;0;True;droit;;bande cyclable;droit;1.0
2020-09-22;48.859563;2.329276;1.0;0;True;droit;;bande cyclable;droit;1.0
2020-12-12;48.8271;2.356985;1.0;0;True;gauche;sens contraire de la voie;piste cyclable;gauche;1.0
2020-12-12;48.8271;2.356985;1.0;0;True;droit;;piste cyclable;droit;1.0
2020-12-12;48.8271;2.356985;1.0;0;True;droit;;piste cyclable;droit;1.0
